# Moment      
# CofR        : (6.000000e-03 4.000000e-02 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0              -5.768280e-07 -4.235165e-22 1.376429e-21 -5.768280e-07 -4.235165e-22 1.376429e-21 0.000000e+00 0.000000e+00 0.000000e+00
0              -5.768280e-07 -4.235165e-22 1.376429e-21 -5.768280e-07 -4.235165e-22 1.376429e-21 0.000000e+00 0.000000e+00 0.000000e+00
0.0001         2.819163e-06 6.490475e-06 5.945391e-06 2.872452e-06 6.472561e-06 6.148568e-06 -5.328955e-08 1.791404e-08 -2.031775e-07
0.0001         2.819163e-06 6.490475e-06 5.945391e-06 2.872452e-06 6.472561e-06 6.148568e-06 -5.328955e-08 1.791404e-08 -2.031775e-07
0.0002         2.728638e-06 6.437644e-06 5.681052e-06 2.836316e-06 6.402200e-06 6.084426e-06 -1.076779e-07 3.544430e-08 -4.033742e-07
0.0002         2.728638e-06 6.437644e-06 5.681052e-06 2.836316e-06 6.402200e-06 6.084426e-06 -1.076779e-07 3.544430e-08 -4.033742e-07
0.0003         2.651291e-06 6.426228e-06 5.460473e-06 2.813871e-06 6.373461e-06 6.062525e-06 -1.625799e-07 5.276662e-08 -6.020518e-07
0.0004         2.581204e-06 6.431249e-06 5.254854e-06 2.798924e-06 6.361296e-06 6.054547e-06 -2.177199e-07 6.995295e-08 -7.996924e-07
0.0005         2.519608e-06 6.453791e-06 5.060593e-06 2.792665e-06 6.366712e-06 6.057497e-06 -2.730573e-07 8.707865e-08 -9.969042e-07
0.0006         2.460780e-06 6.480337e-06 4.869001e-06 2.789349e-06 6.376169e-06 6.062886e-06 -3.285698e-07 1.041678e-07 -1.193884e-06
0.0007         2.405333e-06 6.512655e-06 4.681400e-06 2.789580e-06 6.391407e-06 6.072274e-06 -3.842466e-07 1.212477e-07 -1.390874e-06
0.0008         2.348728e-06 6.539240e-06 4.489631e-06 2.788757e-06 6.400933e-06 6.077365e-06 -4.400285e-07 1.383070e-07 -1.587734e-06
0.0009         2.293329e-06 6.566728e-06 4.298911e-06 2.789217e-06 6.411375e-06 6.083436e-06 -4.958878e-07 1.553535e-07 -1.784524e-06
0.001          2.238163e-06 6.593142e-06 4.107507e-06 2.789960e-06 6.420752e-06 6.088759e-06 -5.517975e-07 1.723898e-07 -1.981252e-06
0.0011         2.182848e-06 6.617158e-06 3.913415e-06 2.790478e-06 6.427747e-06 6.091157e-06 -6.076300e-07 1.894110e-07 -2.177742e-06
0.0012         2.128297e-06 6.641945e-06 3.721046e-06 2.791749e-06 6.435523e-06 6.095164e-06 -6.634524e-07 2.064221e-07 -2.374117e-06
0.0013         2.072378e-06 6.662709e-06 3.526354e-06 2.791654e-06 6.439297e-06 6.096654e-06 -7.192763e-07 2.234123e-07 -2.570300e-06
0.0014         2.015210e-06 6.679925e-06 3.329327e-06 2.790272e-06 6.439552e-06 6.095526e-06 -7.750620e-07 2.403729e-07 -2.766199e-06
0.0015         1.960695e-06 6.702473e-06 3.136458e-06 2.791510e-06 6.445151e-06 6.098448e-06 -8.308152e-07 2.573222e-07 -2.961990e-06
0.0016         1.906372e-06 6.724586e-06 2.943353e-06 2.792910e-06 6.450327e-06 6.101008e-06 -8.865380e-07 2.742588e-07 -3.157655e-06
0.0017         1.851678e-06 6.745508e-06 2.749529e-06 2.793902e-06 6.454328e-06 6.102688e-06 -9.422239e-07 2.911799e-07 -3.353160e-06
0.0018         1.798398e-06 6.769185e-06 2.557792e-06 2.796278e-06 6.461090e-06 6.106385e-06 -9.978803e-07 3.080944e-07 -3.548593e-06
0.0019         1.743268e-06 6.788395e-06 2.362831e-06 2.796757e-06 6.463406e-06 6.106651e-06 -1.053489e-06 3.249892e-07 -3.743820e-06
0.002          1.687399e-06 6.805679e-06 2.166562e-06 2.796443e-06 6.463820e-06 6.105348e-06 -1.109044e-06 3.418588e-07 -3.938785e-06
0.0021         1.632155e-06 6.824112e-06 1.971506e-06 2.796704e-06 6.465405e-06 6.105033e-06 -1.164549e-06 3.587068e-07 -4.133527e-06
0.0022         1.576931e-06 6.842381e-06 1.776607e-06 2.796933e-06 6.466848e-06 6.104649e-06 -1.220002e-06 3.755332e-07 -4.328042e-06
