# Force       
# CofR        : (6.000000e-03 4.000000e-02 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0              -5.759824e-20 1.153656e-04 0.000000e+00 -5.759824e-20 1.153656e-04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0              -5.759824e-20 1.153656e-04 0.000000e+00 -5.759824e-20 1.153656e-04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.0001         1.298095e-03 -5.638326e-04 2.493730e-15 1.294512e-03 -5.744905e-04 0.000000e+00 3.582808e-06 1.065791e-05 2.493730e-15
0.0001         1.298095e-03 -5.638326e-04 2.493730e-15 1.294512e-03 -5.744905e-04 0.000000e+00 3.582808e-06 1.065791e-05 2.493730e-15
0.0002         1.287529e-03 -5.457276e-04 -3.779867e-14 1.280440e-03 -5.672631e-04 0.000000e+00 7.088860e-06 2.153559e-05 -3.779867e-14
0.0002         1.287529e-03 -5.457276e-04 -3.779867e-14 1.280440e-03 -5.672631e-04 0.000000e+00 7.088860e-06 2.153559e-05 -3.779867e-14
0.0003         1.285246e-03 -5.302582e-04 7.623778e-14 1.274692e-03 -5.627742e-04 0.000000e+00 1.055332e-05 3.251598e-05 7.623778e-14
0.0004         1.286250e-03 -5.162409e-04 3.701610e-13 1.272259e-03 -5.597848e-04 0.000000e+00 1.399059e-05 4.354398e-05 3.701610e-13
0.0005         1.290758e-03 -5.039216e-04 2.147487e-13 1.273342e-03 -5.585330e-04 0.000000e+00 1.741573e-05 5.461146e-05 2.147487e-13
0.0006         1.296067e-03 -4.921559e-04 -1.088615e-12 1.275234e-03 -5.578699e-04 0.000000e+00 2.083357e-05 6.571396e-05 -1.088615e-12
0.0007         1.302531e-03 -4.810667e-04 -2.630159e-13 1.278281e-03 -5.579160e-04 0.000000e+00 2.424955e-05 7.684931e-05 -2.630159e-13
0.0008         1.307848e-03 -4.697456e-04 -2.665771e-13 1.280187e-03 -5.577513e-04 0.000000e+00 2.766141e-05 8.800571e-05 -2.665771e-13
0.0009         1.313346e-03 -4.586658e-04 1.906695e-13 1.282275e-03 -5.578433e-04 0.000000e+00 3.107070e-05 9.917757e-05 1.906695e-13
0.001          1.318628e-03 -4.476325e-04 1.455002e-13 1.284150e-03 -5.579920e-04 0.000000e+00 3.447797e-05 1.103595e-04 1.455002e-13
0.0011         1.323432e-03 -4.365695e-04 -1.650889e-12 1.285549e-03 -5.580955e-04 0.000000e+00 3.788221e-05 1.215260e-04 -1.650889e-12
0.0012         1.328389e-03 -4.256593e-04 -7.751158e-13 1.287105e-03 -5.583498e-04 0.000000e+00 4.128443e-05 1.326905e-04 -7.751158e-13
0.0013         1.332542e-03 -4.144756e-04 -6.786036e-13 1.287859e-03 -5.583309e-04 0.000000e+00 4.468247e-05 1.438553e-04 -6.786036e-13
0.0014         1.335985e-03 -4.030420e-04 -1.082793e-13 1.287910e-03 -5.580544e-04 0.000000e+00 4.807457e-05 1.550124e-04 -1.082793e-13
0.0015         1.340495e-03 -3.921390e-04 -4.721896e-13 1.289030e-03 -5.583020e-04 0.000000e+00 5.146443e-05 1.661630e-04 -4.721896e-13
0.0016         1.344917e-03 -3.812743e-04 -4.327308e-13 1.290065e-03 -5.585819e-04 0.000000e+00 5.485177e-05 1.773076e-04 -4.327308e-13
0.0017         1.349102e-03 -3.703356e-04 -1.250494e-15 1.290866e-03 -5.587804e-04 0.000000e+00 5.823597e-05 1.884448e-04 -1.250494e-15
0.0018         1.353837e-03 -3.596795e-04 1.670326e-13 1.292218e-03 -5.592556e-04 0.000000e+00 6.161889e-05 1.995761e-04 1.670326e-13
0.0019         1.357679e-03 -3.486536e-04 1.298013e-13 1.292681e-03 -5.593515e-04 0.000000e+00 6.499785e-05 2.106979e-04 1.298013e-13
0.002          1.361136e-03 -3.374797e-04 1.669207e-13 1.292764e-03 -5.592886e-04 0.000000e+00 6.837175e-05 2.218089e-04 1.669207e-13
0.0021         1.364822e-03 -3.264311e-04 1.993002e-13 1.293081e-03 -5.593408e-04 0.000000e+00 7.174137e-05 2.329098e-04 1.993002e-13
0.0022         1.368476e-03 -3.153861e-04 1.826734e-13 1.293370e-03 -5.593866e-04 0.000000e+00 7.510664e-05 2.440004e-04 1.826734e-13
0.0023         1.372035e-03 -3.043146e-04 1.353066e-13 1.293568e-03 -5.593953e-04 0.000000e+00 7.846730e-05 2.550806e-04 1.353066e-13
0.0024         1.375914e-03 -2.933996e-04 5.832914e-14 1.294090e-03 -5.595514e-04 0.000000e+00 8.182434e-05 2.661517e-04 5.832914e-14
0.0025         1.379553e-03 -2.823861e-04 -9.401351e-14 1.294376e-03 -5.595991e-04 0.000000e+00 8.517703e-05 2.772130e-04 -9.401351e-14
0.0026         1.383257e-03 -2.714095e-04 -2.312101e-13 1.294731e-03 -5.596743e-04 0.000000e+00 8.852553e-05 2.882648e-04 -2.312101e-13
0.0027         1.386927e-03 -2.604256e-04 -3.746791e-13 1.295057e-03 -5.597331e-04 0.000000e+00 9.186974e-05 2.993075e-04 -3.746791e-13
0.0028         1.390591e-03 -2.494438e-04 -4.273870e-13 1.295382e-03 -5.597850e-04 0.000000e+00 9.520961e-05 3.103413e-04 -4.273870e-13
0.0029         1.394253e-03 -2.384631e-04 -3.750808e-13 1.295708e-03 -5.598295e-04 0.000000e+00 9.854509e-05 3.213665e-04 -3.750808e-13
0.003          1.397913e-03 -2.274824e-04 -2.393431e-13 1.296036e-03 -5.598659e-04 0.000000e+00 1.018761e-04 3.323835e-04 -2.393431e-13
0.0031         1.401571e-03 -2.165012e-04 -1.230587e-13 1.296369e-03 -5.598939e-04 0.000000e+00 1.052027e-04 3.433927e-04 -1.230587e-13
0.0032         1.405232e-03 -2.055183e-04 9.890756e-14 1.296708e-03 -5.599130e-04 0.000000e+00 1.085247e-04 3.543947e-04 9.890756e-14
0.0033         1.408897e-03 -1.945337e-04 3.248726e-13 1.297055e-03 -5.599237e-04 0.000000e+00 1.118421e-04 3.653900e-04 3.248726e-13
0.0034         1.412568e-03 -1.835476e-04 3.689226e-13 1.297413e-03 -5.599265e-04 0.000000e+00 1.151548e-04 3.763790e-04 3.689226e-13
0.0035         1.416249e-03 -1.725594e-04 3.511322e-13 1.297786e-03 -5.599217e-04 0.000000e+00 1.184629e-04 3.873623e-04 3.511322e-13
0.0036         1.419946e-03 -1.615705e-04 3.296516e-13 1.298179e-03 -5.599112e-04 0.000000e+00 1.217663e-04 3.983406e-04 3.296516e-13
0.0037         1.423660e-03 -1.505800e-04 2.557318e-13 1.298595e-03 -5.598946e-04 0.000000e+00 1.250650e-04 4.093146e-04 2.557318e-13
0.0038         1.427391e-03 -1.395878e-04 1.813359e-13 1.299032e-03 -5.598726e-04 0.000000e+00 1.283589e-04 4.202848e-04 1.813359e-13
0.0039         1.431143e-03 -1.285931e-04 8.400629e-14 1.299495e-03 -5.598451e-04 0.000000e+00 1.316480e-04 4.312520e-04 8.400629e-14
0.004          1.434915e-03 -1.175959e-04 8.082874e-14 1.299982e-03 -5.598126e-04 0.000000e+00 1.349324e-04 4.422168e-04 8.082874e-14
0.0041         1.438708e-03 -1.065958e-04 6.698963e-14 1.300496e-03 -5.597758e-04 0.000000e+00 1.382120e-04 4.531800e-04 6.698963e-14
0.0042         1.442536e-03 -9.559335e-05 6.765153e-14 1.301049e-03 -5.597357e-04 0.000000e+00 1.414868e-04 4.641423e-04 6.765153e-14
0.0043         1.446338e-03 -8.458555e-05 6.354682e-14 1.301582e-03 -5.596892e-04 0.000000e+00 1.447567e-04 4.751037e-04 6.354682e-14
0.0044         1.450172e-03 -7.357560e-05 -7.254655e-15 1.302150e-03 -5.596404e-04 0.000000e+00 1.480218e-04 4.860648e-04 -7.254655e-15
0.0045         1.454058e-03 -6.256166e-05 -3.469561e-14 1.302776e-03 -5.595880e-04 0.000000e+00 1.512819e-04 4.970263e-04 -3.469561e-14
0.0046         1.457939e-03 -5.154178e-05 -4.570326e-14 1.303402e-03 -5.595292e-04 0.000000e+00 1.545372e-04 5.079874e-04 -4.570326e-14
