  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       3       3       1       2       0       0
     2       5       2       1       2       1       0
     3       7       2       1       3       0       0
     4       8       1       1       3       0       0
     5       9       1       1       3       0       0
     6      10       1       1       3       0       0
     7      11       1       1       3       0       0
     8      12       1       1       3       0       0
     9      13       1       1       3       0       0
    10      14       1       1       3       0       0
    11      15       1       1       3       0       0
    12      16       1       1       3       0       0
    13      17       1       1       3       0       0
    14      18       1       1       3       0       0
    15      19       1       1       3       0       0
    16      20       1       1       3       0       0
    17      21       1       1       3       0       0
    18      22       1       1       3       0       0
    19      23       1       1       3       0       0
    20      24       1       1       3       0       0
    21      25       1       1       3       0       0
    22      26       1       1       3       0       0
    23      27       1       1       3       0       0
    24      28       1       1       3       0       0
    25      29       1       1       3       0       0
    26      30       1       1       3       0       0
    27      31       1       1       3       0       0
    28      32       1       1       3       0       0
    29      33       1       1       3       0       0
    30      34       1       1       3       0       0
    31      35       1       1       3       0       0
    32      36       1       1       3       0       0
    33      37       1       1       3       0       0
    34      38       1       1       3       0       0
    35      39       1       1       3       0       0
    36      40       1       1       3       0       0
    37      41       1       1       3       0       0
    38      42       1       1       3       0       0
    39      43       1       1       3       0       0
    40      44       1       1       3       0       0
    41      45       1       1       3       0       0
    42      46       1       1       3       0       0
    43      47       1       1       3       0       0
    44      48       1       1       3       0       0
    45      49       1       1       3       0       0
    46      50       1       1       3       0       0
    47      51       1       1       3       0       0
    48      52       1       1       3       0       0
    49      53       1       1       3       0       0
    50      54       1       1       3       0       0
    51      55       1       1       3       0       0
    52      56       1       1       3       0       0
    53      57       1       1       3       0       0
    54      58       1       1       3       0       0
    55      59       1       1       3       0       0
    56      60       1       1       3       0       0
    57      61       1       1       3       0       0
    58      62       1       1       3       0       0
    59      63       1       1       3       0       0
    60      64       1       1       3       0       0
    61      65       1       1       3       0       0
    62      66       1       1       3       0       0
    63      67       1       1       3       0       0
    64      68       1       1       3       0       0
    65      69       1       1       3       0       0
    66      70       1       1       3       0       0
    67      71       1       1       3       0       0
    68      72       1       1       3       0       0
    69      73       1       1       3       0       0
    70      74       1       1       3       0       0
    71      75       1       1       3       0       0
    72      76       1       1       3       0       0
    73      77       1       1       3       0       0
    74      78       1       1       3       0       0
    75      79       1       1       3       0       0
    76      80       1       1       3       0       0
    77      81       1       1       3       0       0
    78      82       1       1       3       0       0
    79      83       1       1       3       0       0
    80      84       1       1       3       0       0
    81      85       1       1       3       0       0
    82      86       1       1       3       0       0
    83      87       1       1       3       0       0
    84      88       1       1       3       0       0
    85      89       1       1       3       0       0
    86      90       1       1       3       0       0
    87      91       1       1       3       0       0
    88      92       1       1       3       0       0
    89      93       1       1       3       0       0
    90      94       1       1       3       0       0
    91      95       1       1       3       0       0
    92      96       1       1       3       0       0
    93      97       1       1       3       0       0
    94      98       1       1       3       0       0
    95      99       1       1       3       0       0
    96     100       1       1       3       0       0
    97     101       1       1       3       0       0
    98     102       1       1       3       0       0
    99     103       1       1       3       0       0
   100     104       1       1       3       0       0
   101     105       1       1       3       0       0
   102     106       1       1       3       0       0
   103     107       1       1       3       0       0
   104     108       1       1       3       0       0
   105     109       1       1       3       0       0
   106     110       1       1       3       0       0
   107     111       1       1       3       0       0
   108     112       1       1       3       0       0
   109     113       1       1       3       0       0
   110     114       1       1       3       0       0
   111     115       1       1       3       0       0
   112     116       1       1       3       0       0
   113     117       1       1       3       0       0
   114     118       1       1       3       0       0
   115     119       1       1       3       0       0
   116     120       1       1       3       0       0
   117     121       1       1       3       0       0
   118     122       1       1       3       0       0
   119     123       1       1       3       0       0
