  TimeWindow  TotalIterations  Iterations  Convergence
     1       3       3       1
     2       5       2       1
     3       7       2       1
     4       8       1       1
     5       9       1       1
     6      10       1       1
     7      11       1       1
     8      12       1       1
     9      13       1       1
    10      14       1       1
    11      15       1       1
    12      16       1       1
    13      17       1       1
    14      18       1       1
    15      19       1       1
    16      20       1       1
    17      21       1       1
    18      22       1       1
    19      23       1       1
    20      24       1       1
    21      25       1       1
    22      26       1       1
    23      27       1       1
    24      28       1       1
    25      29       1       1
    26      30       1       1
    27      31       1       1
    28      32       1       1
    29      33       1       1
    30      34       1       1
    31      35       1       1
    32      36       1       1
    33      37       1       1
    34      38       1       1
    35      39       1       1
    36      40       1       1
    37      41       1       1
    38      42       1       1
    39      43       1       1
    40      44       1       1
    41      45       1       1
    42      46       1       1
    43      47       1       1
    44      48       1       1
    45      49       1       1
    46      50       1       1
    47      51       1       1
    48      52       1       1
    49      53       1       1
    50      54       1       1
    51      55       1       1
    52      56       1       1
    53      57       1       1
    54      58       1       1
    55      59       1       1
    56      60       1       1
    57      61       1       1
    58      62       1       1
    59      63       1       1
    60      64       1       1
    61      65       1       1
    62      66       1       1
    63      67       1       1
    64      68       1       1
    65      69       1       1
    66      70       1       1
    67      71       1       1
    68      72       1       1
    69      73       1       1
    70      74       1       1
    71      75       1       1
    72      76       1       1
    73      77       1       1
    74      78       1       1
    75      79       1       1
    76      80       1       1
    77      81       1       1
    78      82       1       1
    79      83       1       1
    80      84       1       1
    81      85       1       1
    82      86       1       1
    83      87       1       1
    84      88       1       1
    85      89       1       1
    86      90       1       1
    87      91       1       1
    88      92       1       1
    89      93       1       1
    90      94       1       1
    91      95       1       1
    92      96       1       1
    93      97       1       1
    94      98       1       1
    95      99       1       1
    96     100       1       1
    97     101       1       1
    98     102       1       1
    99     103       1       1
   100     104       1       1
   101     105       1       1
   102     106       1       1
   103     107       1       1
   104     108       1       1
   105     109       1       1
   106     110       1       1
   107     111       1       1
   108     112       1       1
   109     113       1       1
   110     114       1       1
   111     115       1       1
   112     116       1       1
   113     117       1       1
   114     118       1       1
   115     119       1       1
   116     120       1       1
   117     121       1       1
   118     122       1       1
   119     123       1       1
   120     124       1       1
   121     125       1       1
   122     126       1       1
   123     127       1       1
   124     128       1       1
   125     129       1       1
   126     130       1       1
   127     131       1       1
   128     132       1       1
   129     133       1       1
   130     134       1       1
   131     135       1       1
   132     136       1       1
   133     137       1       1
   134     138       1       1
   135     139       1       1
   136     140       1       1
   137     141       1       1
   138     142       1       1
   139     143       1       1
   140     144       1       1
   141     145       1       1
   142     146       1       1
   143     147       1       1
   144     148       1       1
   145     149       1       1
   146     150       1       1
   147     151       1       1
   148     152       1       1
   149     153       1       1
   150     154       1       1
   151     155       1       1
   152     156       1       1
   153     157       1       1
   154     158       1       1
   155     159       1       1
   156     160       1       1
   157     161       1       1
   158     162       1       1
   159     163       1       1
   160     164       1       1
   161     165       1       1
   162     166       1       1
   163     167       1       1
   164     168       1       1
   165     169       1       1
   166     170       1       1
   167     171       1       1
   168     172       1       1
   169     173       1       1
